Evaluation,mean,median,count,prop_0_0p5,prop_0p5_1,prop_0.5_3,prop_0.5_5,prop_0.5_30,prop_1_3,prop_1_5,prop_1_30,prop_3_30,prop_5_30,prop_gt10,prop_sum_check
CA-ELFO-TW-22107_2022-07-06,0.4908507392106268,0.10946153797782383,4596,0.8052654482158399,0.07136640557006092,0.15274151436031333,0.18059181897302,0.19473455178416013,0.08137510879025239,0.10922541340295909,0.12336814621409922,0.04199303742384682,0.014142732811140122,0,1.7748041775456918
NV-NCD-TW-22005_2023-08-17,1.6815853641728304,0.9669047650836764,1558,0.2663671373555841,0.2496790757381258,0.5596919127086007,0.6745827984595636,0.733632862644416,0.310012836970475,0.4249037227214377,0.4839537869062901,0.17394094993581516,0.059050064184852376,0.009627727856225931,3.945442875481387
NV-WND-RW-22508_2022-06-26,0.09303846569103057,0.07999999821186066,9281,1,0,0,0,0,0,0,0,0,0,0,1
NV-WND-RW-22543_2022-08-08,5.06994372263681,5.211602479983599,8351,0.016405220931624956,0.04227038678002634,0.10609507843372051,0.4253382828403784,0.983594779068375,0.06382469165369417,0.3830678960603521,0.9413243922883487,0.8774997006346545,0.5582564962279967,0,4.397676924919171
NV-WND-RW-22561_2022-08-17,0.36016085761881383,0.3100000023841858,7460,0.8131367292225201,0.18136729222520107,0.18686327077747988,0.18686327077747988,0.18686327077747988,0.00549597855227882,0.00549597855227882,0.00549597855227882,0,0,0,1.5715817694369971
NV-NCD-TW-21023_2022-07-21,0.1762068050035663,0.1599999964237213,3762,1,0,0,0,0,0,0,0,0,0,0,1
NV-NOD-TW-24020_2024-06-06,0.192364326058918,0.18000000715255737,7647,0.9963384333725644,0.0036615666274355954,0.0036615666274355954,0.0036615666274355954,0.0036615666274355954,0,0,0,0,0,0,1.0109846998823067
NV-NOD-RW-24685_2024-06-08,2.857668215222286,2.7654605115714825,7535,0.005573988055739881,0.022295952222959523,0.6100862641008626,0.9726609157266092,0.9944260119442602,0.5877903118779031,0.9503649635036496,0.9721300597213006,0.3843397478433975,0.02176509621765096,0,5.5214333112143335
CA-APFO-TW-23088_2023-07-08,0.22992049429743375,0.01819265423253773,5660,0.9051236749116608,0.026148409893992933,0.07791519434628975,0.09098939929328621,0.09487632508833922,0.05176678445229682,0.06484098939929328,0.06872791519434629,0.01696113074204947,0.0038869257950530037,0,1.4012367491166078
NV-WND-RW-24860_2024-08-16,0.11121262013350086,0.10000000149011612,7290,0.9958847736625515,0.00411522633744856,0.00411522633744856,0.00411522633744856,0.00411522633744856,0,0,0,0,0,0,1.012345679012346
